GeoRefNo,ClassPr_S,ClassSc_S,MA_Zip1,PA-Strt,LndAc_S,ImpAc_S,OthAc_S,TtlVal_AsrYr,Neighborhood,LotArea,ParType,BldgNo_S,DwlgNo_S,YrBuilt,Foundation,RoofMatl,Ext1,Ext2,MasVnrType,Heating,Central Air,GLA,TtlBsmtSF,TotRmsAbvGrd,NmbrBRs,Fireplaces,PoolArea,GarageType,GarYrBlt,Cars,GarageArea,YrSold_YYYY,MoSold_MM,SalePrice,SaleType,SaleCond
522150160,RESIDENTIAL,1-STORY 1946 & NEWER ALL STYLES,50010,LEOPOLD,100600,0,301900,402500,HaydnLk,9200,Dwg&Lot,0,1,2018,P'Conc,CompShg,VinylSd,VinylSd,Stone,GasFWA,Yes,1552,1552,7,2,1,0,Attachd,2018,3,825,2017,4,3999,WRDConv,Abnorml
522202010,RESIDENTIAL,1-STORY TWNHM - 1946 & NEWER,50010,QUARRY,74600,0,223800,298400,HaydnLk,7153,Dwg&Lot,0,1,2017,C'Block,CompShg,VinylSd,VinylSd,Stone,GasFWA,Yes,1429,1297,8,2,1,0,Attachd,2017,2,473,2017,9,290500,NewSold,Partial
522202010,RESIDENTIAL,1-STORY TWNHM - 1946 & NEWER,50010,QUARRY,74600,0,223800,298400,HaydnLk,7153,Dwg&Lot,0,1,2017,C'Block,CompShg,VinylSd,VinylSd,Stone,GasFWA,Yes,1429,1297,8,2,1,0,Attachd,2017,2,473,2016,12,63693,WRDConv,Alloca
522205160,RESIDENTIAL,1-STORY TWNHM - 1946 & NEWER,50010,QUARRY,92200,0,276600,368800,HaydnLk,6050,Dwg&Lot,0,1,2017,P'Conc,CompShg,VinylSd,VinylSd,Stone,GasFWA,Yes,1467,1467,7,2,1,0,Attachd,2017,2,663,2017,4,60000,WRDConv,Normal
522205170,RESIDENTIAL,SPLIT OR MULTI-LEVEL,50010,QUARRY,153200,0,459600,612800,HaydnLk,14033,Dwg&Lot,0,1,2018,P'Conc,CompShg,CemntBd,CmentBd,None,GasFWA,Yes,2892,1864,10,4,1,0,Attachd,2018,3,1298,2016,3,100000,WRDConv,Normal
526303040,RESIDENTIAL,1-STORY 1946 & NEWER ALL STYLES,50010,NORTHWOOD,63300,0,189800,253100,N Ames,16012,Dwg&Lot,0,1,1956,C'Block,CompShg,Wd Sdng,HdBoard,BrkFace,GasFWA,Yes,1837,1505,7,3,1,0,Attachd,1956,2,460,2016,4,245500,COD/Est,Normal
526303090,RESIDENTIAL,1-STORY 1946 & NEWER ALL STYLES,50010,RIVER OAK,78900,0,236600,315500,N Ames,13404,Dwg&Lot,0,1,1957,C'Block,CompShg,Wd Sdng,Wd Sdng,Stone,GasFWA,Yes,1332,1552,5,2,2,0,Attachd,1956,2,484,2017,6,314900,WRDConv,Normal
526353060,RESIDENTIAL,2-STORY 1946 & NEWER,50010,BRIGGS,78700,0,236000,314700,N Ames,27647,Dwg&Lot,0,1,1969,C'Block,CompShg,Plywood,Plywood,Brk Cmn,GasFWA,Yes,2444,1241,8,4,1,0,Attachd,1969,2,652,2019,1,308900,WRDConv,Normal
527101110,RESIDENTIAL,CONDO,50010,EISENHOWER,23800,0,128500,152300,Blmngtn,4693,Dwg&Lot,0,1,1999,P'Conc,CompShg,VinylSd,VinylSd,None,GasFWA,Yes,1407,660,5,2,1,0,BuiltIn,1999,2,429,2018,3,96667,COD/Est,Family
527101140,RESIDENTIAL,CONDO,50010,EISENHOWER,23800,0,132100,155900,Blmngtn,4693,Dwg&Lot,0,1,1999,P'Conc,CompShg,VinylSd,VinylSd,None,GasFWA,Yes,1363,638,5,1,1,0,BuiltIn,1999,2,429,2017,10,178000,WRDConv,Normal
527101180,RESIDENTIAL,CONDO,50010,EISENHOWER,23800,0,128300,152100,Blmngtn,4693,Dwg&Lot,0,1,1999,P'Conc,CompShg,VinylSd,VinylSd,None,GasFWA,Yes,1363,638,5,2,1,0,BuiltIn,1999,2,429,2017,5,167500,WRDConv,Normal
527102070,RESIDENTIAL,1-STORY TWNHM - 1946 & NEWER,50010,EISENHOWER,56200,0,168500,224700,Gilbert,2812,Dwg&Lot,0,1,1997,P'Conc,CompShg,VinylSd,VinylSd,BrkFace,GasFWA,Yes,1305,1296,6,2,0,0,Attachd,1997,2,400,2017,4,234000,WRDConv,Normal
