GeoRefNo,ClassPr_S,ClassSc_S,MA_Zip1,PA-Strt,LndAc_S,ImpAc_S,OthAc_S,TtlVal_AsrYr,Neighborhood,LotArea,ParType,BldgNo_S,DwlgNo_S,YrBuilt,Foundation,RoofMatl,Ext1,Ext2,MasVnrType,Heating,Central Air,GLA,TtlBsmtSF,TotRmsAbvGrd,NmbrBRs,Fireplaces,PoolArea,GarageType,GarYrBlt,Cars,GarageArea,YrSold_YYYY,MoSold_MM,Neighborhood_RecentSoldPrice
526303110,RESIDENTIAL,1-STORY 1946 & NEWER ALL STYLES,50010.0,RIVER OAK,58100,0,174300,232400,N Ames,15007.0,Dwg&Lot,0,1,1956.0,C'Block,CompShg,Wd Sdng,Wd Sdng,BrkFace,GasFWA,Yes,1355.0,1355.0,8.0,2.0,1.0,0.0,Attachd,1956.0,2.0,421.0,None,None,232400
526353050,RESIDENTIAL,1-STORY 1946 & NEWER ALL STYLES,50010.0,DUFF,70600,0,211800,282400,N Ames,12925.0,Dwg&Lot,0,1,1970.0,C'Block,CompShg,BrkFace,Plywood,None,GasFWA,Yes,2117.0,1205.0,7.0,4.0,2.0,0.0,Attachd,1970.0,2.0,550.0,None,None,282400
526353060,RESIDENTIAL,2-STORY 1946 & NEWER,50010.0,BRIGGS,78700,0,236000,314700,N Ames,27647.0,Dwg&Lot,0,1,1969.0,C'Block,CompShg,Plywood,Plywood,Brk Cmn,GasFWA,Yes,2444.0,1241.0,8.0,4.0,1.0,0.0,Attachd,1969.0,2.0,652.0,2019.0,1.0,314700
526353070,RESIDENTIAL,SPLIT OR MULTI-LEVEL,50010.0,BRIGGS,78500,0,235600,314100,N Ames,21557.0,Dwg&Lot,0,1,1968.0,C'Block,CompShg,HdBoard,HdBoard,BrkFace,GasFWA,Yes,2105.0,1463.0,8.0,4.0,1.0,0.0,BuiltIn,1968.0,2.0,495.0,None,None,314100
526353080,RESIDENTIAL,1-STORY 1946 & NEWER ALL STYLES,50010.0,BRIGGS,129300,0,387800,517100,N Ames,29144.0,Dwg&Lot,0,1,1968.0,C'Block,CompShg,BrkFace,BrkFace,None,GasFWA,Yes,2765.0,2765.0,8.0,1.0,2.0,0.0,Attachd,1968.0,2.0,537.0,None,None,517100
526353090,RESIDENTIAL,1-STORY 1946 & NEWER ALL STYLES,50010.0,BRIGGS,73700,0,220900,294600,N Ames,19523.0,Dwg&Lot,0,1,1968.0,C'Block,CompShg,Plywood,Plywood,BrkFace,GasFWA,Yes,1552.0,1520.0,6.0,2.0,2.0,0.0,Attachd,1968.0,2.0,676.0,None,None,294600
526353100,RESIDENTIAL,1-STORY 1946 & NEWER ALL STYLES,50010.0,DUFF,91100,0,273400,364500,N Ames,25964.0,Dwg&Lot,0,1,1969.0,C'Block,CompShg,BrkFace,BrkFace,None,GasFWA,Yes,2193.0,2193.0,9.0,3.0,2.0,0.0,Attachd,1969.0,2.0,585.0,None,None,364500
526353110,RESIDENTIAL,1-STORY 1946 & NEWER ALL STYLES,50010.0,DUFF,129200,0,387500,516700,N Ames,77550.0,Dwg&Lot,0,1,1993.0,P'Conc,CompShg,BrkFace,BrkFace,None,GasFWA,Yes,2232.0,2196.0,7.0,2.0,1.0,0.0,Attachd,1993.0,2.0,586.0,None,None,516700
526354020,RESIDENTIAL,1-STORY 1946 & NEWER ALL STYLES,50010.0,NORTHWOOD,60000,0,179800,239800,N Ames,11727.0,Dwg&Lot,0,1,1969.0,C'Block,CompShg,HdBoard,HdBoard,BrkFace,GasFWA,Yes,1851.0,1851.0,8.0,3.0,1.0,0.0,Attachd,1969.0,2.0,506.0,None,None,239800
526354030,RESIDENTIAL,1-STORY 1946 & NEWER ALL STYLES,50010.0,NORTHWOOD,56200,0,168500,224700,N Ames,11075.0,Dwg&Lot,0,1,1969.0,C'Block,CompShg,HdBoard,HdBoard,BrkFace,GasFWA,Yes,1681.0,1681.0,7.0,3.0,1.0,0.0,Attachd,1969.0,2.0,572.0,None,None,224700
526354040,RESIDENTIAL,1-STORY 1946 & NEWER ALL STYLES,50010.0,NORTHWOOD,57400,0,172300,229700,N Ames,11075.0,Dwg&Lot,0,1,1972.0,P'Conc,WdShake,Plywood,Plywood,Stone,GasFWA,Yes,1576.0,1384.0,6.0,3.0,2.0,0.0,Attachd,1972.0,2.0,624.0,None,None,229700
526354050,RESIDENTIAL,1-STORY 1946 & NEWER ALL STYLES,50010.0,NORTHWOOD,80500,0,241400,321900,N Ames,11075.0,Dwg&Lot,0,1,1971.0,C'Block,CompShg,HdBoard,Plywood,BrkFace,GasFWA,Yes,2302.0,1691.0,9.0,3.0,1.0,0.0,Attachd,1971.0,2.0,688.0,None,None,321900
527101010,RESIDENTIAL,CONDO,50010.0,EISENHOWER,23800,0,130900,154700,Blmngtn,4693.0,Dwg&Lot,0,1,2000.0,P'Conc,CompShg,VinylSd,VinylSd,None,GasFWA,Yes,1055.0,1055.0,5.0,2.0,1.0,0.0,Attachd,2000.0,2.0,439.0,None,None,154700
527101020,RESIDENTIAL,CONDO,50010.0,EISENHOWER,23800,0,146700,170500,Blmngtn,4693.0,Dwg&Lot,0,1,2000.0,P'Conc,CompShg,VinylSd,VinylSd,None,GasFWA,Yes,1407.0,660.0,5.0,2.0,1.0,0.0,BuiltIn,2000.0,2.0,429.0,None,None,170500
527101030,RESIDENTIAL,CONDO,50010.0,EISENHOWER,23800,0,126400,150200,Blmngtn,4693.0,Dwg&Lot,0,1,2000.0,P'Conc,CompShg,VinylSd,VinylSd,None,GasFWA,Yes,1363.0,638.0,5.0,2.0,0.0,0.0,BuiltIn,2000.0,2.0,429.0,None,None,150200
527101040,RESIDENTIAL,CONDO,50010.0,EISENHOWER,23800,0,154400,178200,Blmngtn,4693.0,Dwg&Lot,0,1,2000.0,P'Conc,CompShg,VinylSd,VinylSd,None,GasFWA,Yes,1407.0,660.0,5.0,2.0,1.0,0.0,BuiltIn,2000.0,2.0,429.0,None,None,178200
527101050,RESIDENTIAL,CONDO,50010.0,EISENHOWER,23800,0,129300,153100,Blmngtn,4693.0,Dwg&Lot,0,1,2000.0,P'Conc,CompShg,VinylSd,VinylSd,None,GasFWA,Yes,1363.0,638.0,5.0,2.0,1.0,0.0,BuiltIn,2000.0,2.0,429.0,None,None,153100
527101060,RESIDENTIAL,CONDO,50010.0,EISENHOWER,23800,0,154700,178500,Blmngtn,4693.0,Dwg&Lot,0,1,2000.0,P'Conc,CompShg,VinylSd,VinylSd,None,GasFWA,Yes,1055.0,1055.0,5.0,2.0,1.0,0.0,Attachd,2000.0,2.0,439.0,None,None,178500
527101070,RESIDENTIAL,CONDO,50010.0,EISENHOWER,23800,0,153700,177500,Blmngtn,4693.0,Dwg&Lot,0,1,1999.0,P'Conc,CompShg,VinylSd,VinylSd,None,GasFWA,Yes,1055.0,1055.0,5.0,2.0,1.0,0.0,Attachd,1999.0,2.0,439.0,None,None,177500
527101080,RESIDENTIAL,CONDO,50010.0,EISENHOWER,23800,0,137600,161400,Blmngtn,4693.0,Dwg&Lot,0,1,1999.0,P'Conc,CompShg,VinylSd,VinylSd,None,GasFWA,Yes,1407.0,660.0,5.0,2.0,1.0,0.0,BuiltIn,1999.0,2.0,429.0,None,None,161400
527101090,RESIDENTIAL,CONDO,50010.0,EISENHOWER,23800,0,128500,152300,Blmngtn,4693.0,Dwg&Lot,0,1,1999.0,P'Conc,CompShg,VinylSd,VinylSd,None,GasFWA,Yes,1363.0,638.0,5.0,2.0,1.0,0.0,BuiltIn,1999.0,2.0,429.0,None,None,152300
527101100,RESIDENTIAL,CONDO,50010.0,EISENHOWER,23800,0,143700,167500,Blmngtn,4693.0,Dwg&Lot,0,1,1999.0,P'Conc,CompShg,VinylSd,VinylSd,None,GasFWA,Yes,1407.0,660.0,5.0,2.0,1.0,0.0,BuiltIn,1999.0,2.0,429.0,None,None,167500
527101110,RESIDENTIAL,CONDO,50010.0,EISENHOWER,23800,0,128500,152300,Blmngtn,4693.0,Dwg&Lot,0,1,1999.0,P'Conc,CompShg,VinylSd,VinylSd,None,GasFWA,Yes,1407.0,660.0,5.0,2.0,1.0,0.0,BuiltIn,1999.0,2.0,429.0,2018.0,3.0,152300
